WKT,fid,tipe,nama,panjang
"LINESTRING (113.7005146 -8.1753467,113.7007506 -8.173938,113.7008762 -8.1729868,113.7009157 -8.1727519)",448,residential,Jalan RA. Kartini,290.602862367874
"LINESTRING (113.7143125 -8.150503,113.7144761 -8.1499043,113.7145244 -8.1497602,113.7145405 -8.1497038,113.7145498 -8.1496547,113.7145512 -8.1496235,113.7145455 -8.1495893,113.7145391 -8.1495654)",449,unclassified,,107.538466409603
"LINESTRING (113.7092671 -8.1499642,113.7096882 -8.1500305,113.7102113 -8.150081)",450,residential,,104.972768912445
"LINESTRING (113.7180756 -8.1490878,113.7184035 -8.1492431,113.718488 -8.1493407,113.7185249 -8.1493792,113.7185678 -8.149419,113.7186161 -8.1494476,113.718665 -8.1494754,113.718718 -8.1495043)",451,residential,,85.7280776468833
"LINESTRING (113.7196889 -8.1457464,113.719813 -8.1454937,113.7198613 -8.1453954,113.7200579 -8.1449803,113.7200785 -8.1449365,113.720216 -8.144666,113.7202455 -8.1446179,113.7203893 -8.1443704,113.720539 -8.144082,113.7207095 -8.1437458)",452,residential,Jalan Anggur,248.479511269784
"LINESTRING (113.7207759 -8.1474089,113.7205413 -8.1475886,113.7202414 -8.1478228,113.7195629 -8.1483377,113.7190841 -8.1487188,113.7185731 -8.1491158,113.7184035 -8.1492431)",453,residential,,331.16420509652
"LINESTRING (113.7129982 -8.1490135,113.7129378 -8.1494955,113.7127648 -8.1501883)",454,residential,Jalan Kurma,132.772825067984
"LINESTRING (113.7104514 -8.1515677,113.7103777 -8.1519009,113.7103026 -8.1521691,113.7100803 -8.1529025,113.7100716 -8.1529151,113.7100568 -8.1529354,113.7100347 -8.1529427,113.7097405 -8.152929,113.7091076 -8.1528436,113.7085793 -8.1527717)",455,residential,,322.119573921022
"LINESTRING (113.718825 -8.1494157,113.7193268 -8.1490202,113.7195769 -8.1488384,113.7201114 -8.1484041,113.7205016 -8.1480995)",456,residential,,235.421780851242
"LINESTRING (113.7193268 -8.1490202,113.7190841 -8.1487188,113.7188682 -8.1484585,113.718651 -8.1482163,113.7184937 -8.1480151,113.7183469 -8.1478332,113.7182764 -8.14774)",457,residential,,183.068957339544
"LINESTRING (113.7215744 -8.1443724,113.7217301 -8.1446339,113.7217945 -8.1447005,113.7219098 -8.1448198,113.7219577 -8.1448682)",458,residential,Jalan Raya Langsep,69.7420675196046
"LINESTRING (113.7213881 -8.1423691,113.7217365 -8.1425322,113.7219618 -8.1426477,113.7220003 -8.1426675,113.7221686 -8.142766,113.7222272 -8.1427945,113.7222635 -8.1428216,113.7223094 -8.1428762,113.722457 -8.1430355,113.7226541 -8.1432359,113.7226595 -8.1432837,113.7226393 -8.1433356,113.7225749 -8.1434205,113.7223523 -8.1436382,113.7221973 -8.1438083,113.7220707 -8.1439277,113.7218078 -8.1441746,113.7215744 -8.1443724)",459,residential,Jalan Nangka,347.769338051222
"LINESTRING (113.7184937 -8.1480151,113.7190811 -8.1475369,113.7196299 -8.1470953)",460,residential,,161.44307665325
"LINESTRING (113.7218387 -8.1371886,113.7218074 -8.1372886)",461,unclassified,Jalan Srikaya,11.5933710270933
"LINESTRING (113.7189808 -8.142924,113.7196031 -8.1431994,113.7200051 -8.1434031,113.7207095 -8.1437458,113.7210743 -8.1439741,113.7212285 -8.1440883,113.7212939 -8.144128,113.7214082 -8.1442264,113.7215744 -8.1443724)",462,residential,Jalan Raya Langsep,329.511974861103
"LINESTRING (113.709705 -8.149585,113.7096882 -8.1500305,113.7096507 -8.1504235)",463,residential,,93.0314517682918
"LINESTRING (113.7179246 -8.149035,113.7179168 -8.1490315,113.7179106 -8.1490262,113.717908 -8.1490218,113.7179048 -8.1490123,113.7179039 -8.149004,113.7179021 -8.1489927,113.7179288 -8.1488236,113.7179415 -8.1487854,113.7179552 -8.1487616,113.717971 -8.1487463,113.7180836 -8.1486573,113.718651 -8.1482163,113.7191143 -8.1478445,113.7197848 -8.1472896)",464,residential,,291.506636410949
"LINESTRING (113.7076243 -8.1673384,113.7077652 -8.1673473,113.7078584 -8.1673487,113.7079006 -8.1673427,113.7079241 -8.1673294,113.7079449 -8.1673142,113.7079697 -8.1672836,113.7079797 -8.1672496,113.7079704 -8.167204,113.7079583 -8.1671708,113.7079483 -8.1671489,113.7079167 -8.1671137,113.7078879 -8.1670958,113.7078351 -8.167055,113.7077295 -8.1670281,113.7076938 -8.1670202,113.7076138 -8.1670029,113.707542 -8.1670253,113.7074798 -8.1670717,113.7074583 -8.1671182,113.7074614 -8.1672005,113.7074728 -8.1672801,113.7074929 -8.1673208,113.7075259 -8.167355,113.7075587 -8.1673732,113.7075924 -8.1673898,113.7076064 -8.1673967,113.7076833 -8.1674186,113.7081263 -8.1675532,113.7085144 -8.1676407,113.7087362 -8.1676958,113.708813 -8.1677141,113.708904 -8.1677355,113.7090785 -8.1677862,113.7094389 -8.167891,113.7095745 -8.1679262,113.709752 -8.1679723,113.7104508 -8.1681565,113.710551 -8.1681837,113.7110218 -8.1682975)",465,secondary,Jalan Bengawan Solo,548.323456840304
"LINESTRING (113.7195769 -8.1488384,113.7197909 -8.1490997,113.719874 -8.1491898,113.7199202 -8.1492265,113.7201865 -8.1495279)",466,residential,,101.82952090337
"LINESTRING (113.7226661 -8.1460385,113.7222719 -8.1462282,113.7219796 -8.146345,113.7216121 -8.1464871,113.7213103 -8.1465667,113.7212299 -8.1466079)",467,residential,Jalan Pesona Regency Patrang,170.881425379005
"LINESTRING (113.7278912 -8.1329376,113.7282506 -8.1331846,113.7283672 -8.1333014,113.7284813 -8.1334396,113.7287315 -8.1337171,113.7289548 -8.1338717,113.7292295 -8.1339705,113.7295943 -8.1340874,113.7299922 -8.1341658,113.7304205 -8.1342467,113.7306284 -8.1342892,113.7310173 -8.1343768,113.7315838 -8.134448,113.7316516 -8.1344565,113.7322176 -8.1345573,113.7326903 -8.134651,113.732819 -8.1346868,113.732876 -8.1347047,113.7329183 -8.1347306,113.7329552 -8.1347671)",468,secondary,Jalan Rasamala,611.734272018052
"LINESTRING (113.7299001 -8.1295044,113.7298014 -8.1297575,113.7297225 -8.1300049,113.7295175 -8.1304563,113.7290511 -8.1312199,113.7286474 -8.1318943,113.7285053 -8.1321199,113.7284195 -8.1322633,113.7283203 -8.132396,113.7282801 -8.1324345,113.7282497 -8.1324495,113.7281744 -8.1324594)",469,residential,,384.003747905619
"LINESTRING (113.7233127 -8.1278768,113.7232671 -8.127999,113.7232411 -8.1280906,113.7231786 -8.1283893,113.7230288 -8.1292636,113.7229113 -8.1303456,113.7228902 -8.1303787,113.72286 -8.1304066,113.7226208 -8.1306048,113.7225831 -8.1306728,113.7225576 -8.1307803,113.7225359 -8.1309142,113.722537 -8.1309992,113.7225549 -8.1310737,113.7226201 -8.1312178,113.722851 -8.1316858,113.7228734 -8.1317312,113.7229854 -8.1320455,113.7230338 -8.1323161,113.7230659 -8.1327996,113.7231174 -8.1329072,113.7231812 -8.1329881,113.7233042 -8.1330896,113.7235786 -8.133254,113.7243801 -8.1336519)",470,residential,Jalan Semangka 2,752.296641307649
"LINESTRING (113.7329552 -8.1347671,113.7330208 -8.1346941,113.7331129 -8.134341,113.7331402 -8.1341178,113.7331549 -8.1339413,113.7331469 -8.1338444,113.7331197 -8.1336335,113.7331147 -8.1332589,113.7331415 -8.1329217,113.7331818 -8.1326775,113.7332371 -8.1323642,113.7333262 -8.1316314,113.7333664 -8.1313964,113.7334339 -8.1310033,113.7334513 -8.1308388,113.7334526 -8.1307286,113.7334326 -8.1302346,113.7334311 -8.1299015,113.7335076 -8.1291816,113.7335623 -8.1287377,113.7335785 -8.1284279,113.733556 -8.1283069,113.7335184 -8.1282219,113.7334577 -8.128111,113.7333307 -8.1280016,113.7332049 -8.1279153,113.7326286 -8.1275602,113.7325126 -8.1274705,113.7320497 -8.1270276,113.7319842 -8.1269634,113.731871 -8.1267634,113.7316479 -8.126282,113.7314317 -8.1258694,113.7312144 -8.1253978,113.7311339 -8.125264,113.7310535 -8.1251578,113.730922 -8.1249586,113.7308617 -8.1248617,113.7308196 -8.1247451,113.7305776 -8.123937,113.7304498 -8.1235674,113.7302237 -8.1226753,113.7301428 -8.1223724,113.7300588 -8.1220574,113.7298709 -8.1215392,113.7298378 -8.1213403,113.7298201 -8.1210597,113.7299221 -8.1204092,113.7299806 -8.1201977,113.73007 -8.1199528,113.7301455 -8.1198321,113.7304674 -8.1194973,113.7308145 -8.1192109)",471,tertiary,Jalan Rasamala 2,1898.96332165137
"LINESTRING (113.7070705 -8.1569203,113.7076378 -8.1569742,113.7077558 -8.1569854,113.7083325 -8.1570265,113.7084585 -8.1570438,113.7085712 -8.1570558,113.708822 -8.1570889,113.7088971 -8.1571195,113.7089381 -8.1571486,113.7089494 -8.1571566)",472,unclassified,Jalan Belimbing Barat,210.128185695333
"LINESTRING (113.705152 -8.1568206,113.7051453 -8.1567863,113.7051346 -8.1565599,113.7051433 -8.156457,113.7051655 -8.1562645,113.7051983 -8.1561105,113.7052634 -8.1558822,113.7052902 -8.155778,113.7053546 -8.1556008,113.7053834 -8.155477,113.7054189 -8.155324,113.7054643 -8.1550872,113.7054833 -8.1547385,113.7054605 -8.1543881,113.7054511 -8.154325,113.7054385 -8.1542506,113.7054235 -8.153976,113.7054176 -8.1537123,113.7054156 -8.1531169)",473,unclassified,Jalan Cempedak,414.849415024938
"LINESTRING (113.7036682 -8.1530291,113.7037122 -8.1526192)",474,residential,,45.6239881411397
"LINESTRING (113.7054156 -8.1531169,113.7047517 -8.1530665,113.7043869 -8.1530532,113.7036682 -8.1530291,113.7030378 -8.1529191,113.7028494 -8.1528992,113.7027317 -8.1528902)",475,unclassified,Jalan Cempedak,297.473765099669
"LINESTRING (113.7203048 -8.1768359,113.7202612 -8.1769446,113.7202012 -8.1771182,113.7201096 -8.1774574,113.7200215 -8.1777209,113.719965 -8.1780055,113.7199491 -8.1780674)",476,residential,Jalan Semeru Utama,142.071280141214
"LINESTRING (113.719825 -8.1782512,113.719804 -8.1782486,113.7196109 -8.1782293,113.7190184 -8.1781561,113.7189735 -8.1781522)",477,residential,Jalan Semeru XIV,94.5415034240146
"LINESTRING (113.7221797 -8.1768872,113.7218637 -8.1768357,113.7218243 -8.1768293,113.7217301 -8.1768196,113.7215491 -8.1768117,113.721242 -8.1767858,113.7210736 -8.1767698,113.7210636 -8.1767705,113.7210529 -8.1767757,113.7210415 -8.1767838,113.7210334 -8.1767957,113.7209944 -8.1768696,113.7209442 -8.1772138,113.7208879 -8.1775556,113.7208289 -8.1778164,113.7207886 -8.1780926,113.7207538 -8.1783634,113.7207175 -8.1786408,113.7206881 -8.1789089,113.7206512 -8.179193,113.7206207 -8.1794298,113.7206168 -8.1794615)",478,residential,,427.564699094818
"LINESTRING (113.7203048 -8.1768359,113.7202844 -8.1768271,113.7202682 -8.1768119,113.7202583 -8.1767922,113.7202556 -8.1767703,113.7202638 -8.1767425,113.7202835 -8.1767211,113.7203108 -8.1767106,113.7203399 -8.176713,113.720355 -8.1767201,113.7203677 -8.1767307,113.7203773 -8.1767443,113.7203831 -8.1767598,113.7203846 -8.1767763,113.7203797 -8.1767983,113.7203675 -8.1768172,113.7203493 -8.1768308,113.7203275 -8.1768373,113.7203048 -8.1768359)",479,residential,,44.3332002674551
"LINESTRING (113.7229033 -8.1725087,113.7225187 -8.172533,113.7223953 -8.172517,113.7221324 -8.1724427,113.7218929 -8.1723526,113.7215209 -8.1722409,113.721437 -8.1722203,113.7213348 -8.1721953,113.7213278 -8.1721931,113.7211394 -8.172138,113.7209945 -8.1720878)",480,residential,,217.942646800005
"LINESTRING (113.7209442 -8.1772138,113.7202012 -8.1771182)",481,residential,Jalan Semeru III,82.6136795994939
"LINESTRING (113.7199738 -8.1761341,113.7201951 -8.1755248)",482,residential,,71.7144229160223
"LINESTRING (113.7205872 -8.1758953,113.7204626 -8.1762656,113.7203558 -8.1766372,113.7203399 -8.176713)",483,residential,Jalan Semeru Utama,94.5756546643421
"LINESTRING (113.7213938 -8.1791313,113.721387 -8.1791249,113.7213782 -8.1791211,113.7206881 -8.1789089)",484,residential,,81.730206764581
"LINESTRING (113.7213938 -8.1791313,113.7213975 -8.179139,113.7213999 -8.179155,113.7213989 -8.1791716,113.7213248 -8.1793863,113.7212567 -8.1796193,113.7212463 -8.1796352,113.7212327 -8.1796465,113.7212141 -8.1796501,113.7211876 -8.1796481,113.7206168 -8.1794615)",485,residential,,131.880714713397
"LINESTRING (113.7190464 -8.1792643,113.7188574 -8.1800276,113.7187864 -8.1802856,113.7186831 -8.1806998)",486,residential,,163.855458162226
"LINESTRING (113.7188005 -8.1744507,113.7189715 -8.1746081,113.7191847 -8.1748005,113.7195186 -8.175064,113.719689 -8.17522,113.7198217 -8.1753275,113.7199103 -8.1753933,113.7200616 -8.1754723,113.7201951 -8.1755248,113.7206349 -8.1756509,113.7207212 -8.1756755,113.7210949 -8.1757611,113.721427 -8.1758385,113.721802 -8.175933,113.7218889 -8.1759549,113.7219861 -8.1759817,113.7221217 -8.1760191,113.7222233 -8.1760432,113.7223334 -8.1760693,113.7225694 -8.1761252,113.7235138 -8.1763536,113.7246175 -8.1766225,113.7253566 -8.1767683,113.7254329 -8.1767771,113.7264519 -8.1768521,113.7273547 -8.1768568,113.7276744 -8.1768684,113.7277946 -8.1768727,113.728209 -8.1768833,113.728584 -8.1768955,113.7297305 -8.1769033)",487,residential,Jalan Semeru,1264.08618566964
"LINESTRING (113.7207538 -8.1783634,113.7207273 -8.1783598,113.7200677 -8.178278,113.7200383 -8.1782752,113.7199934 -8.1782712)",488,residential,Jalan Semeru XI,84.4746579223538
"LINESTRING (113.719965 -8.1780055,113.7194737 -8.1779393,113.719027 -8.1778691)",489,residential,Jalan Semeru XII,104.538534915356
"LINESTRING (113.7198794 -8.1784576,113.7198666 -8.1785393,113.7198257 -8.178775,113.7198197 -8.1788007,113.7197748 -8.1790775,113.719729 -8.1793486)",490,residential,Jalan Semeru Utama,100.003943396895
"LINESTRING (113.7208289 -8.1778164,113.7201 -8.1777256,113.7200215 -8.1777209)",491,residential,,89.6762050930881
"LINESTRING (113.7200207 -8.1767515,113.7201275 -8.1763523,113.7201557 -8.1762475,113.7201637 -8.1762216,113.7201697 -8.176215,113.7201878 -8.176207,113.7202066 -8.1762017,113.7202428 -8.1762037,113.7204626 -8.1762656)",492,residential,Jalan Semeru II,95.2414685506107
"LINESTRING (113.721165 -8.1787031,113.7207175 -8.1786408)",493,residential,Jalan Semeru XIII,49.8266776818921
"LINESTRING (113.7188526 -8.1789471,113.7189084 -8.1789542,113.7197748 -8.1790775,113.7206512 -8.179193)",494,residential,,200.198497135216
"LINESTRING (113.7184227 -8.1807719,113.7184303 -8.1807337,113.7184276 -8.1807058,113.7184216 -8.1806633,113.7184203 -8.1806374,113.718429 -8.1805624,113.7184417 -8.180502,113.7185852 -8.1799578,113.7186536 -8.1797321,113.7187051 -8.1795311,113.718785 -8.1792196,113.7187904 -8.1791945,113.7188526 -8.1789471,113.7189191 -8.178682,113.7189492 -8.1784108,113.7189735 -8.1781522,113.719027 -8.1778691,113.7191015 -8.1776094,113.7191612 -8.1774268,113.719172 -8.1774057,113.7191847 -8.1773884,113.7192048 -8.1773719,113.7192269 -8.1773526,113.7192484 -8.1773359,113.7192786 -8.1773055,113.719298 -8.1772809,113.7193175 -8.1772398,113.7193315 -8.1772013,113.7193962 -8.1770166,113.7194356 -8.1768855,113.719481 -8.176775,113.7194985 -8.1767465,113.7195273 -8.1767219,113.7195455 -8.1767201,113.7200207 -8.1767515)",495,residential,,524.712400641182
"LINESTRING (113.7208879 -8.1775556,113.720851 -8.1775497,113.7204903 -8.1775086,113.7201096 -8.1774574,113.7192484 -8.1773359)",496,residential,,182.432803835422
"LINESTRING (113.7199491 -8.1780674,113.719982 -8.1780967,113.7199947 -8.1781345,113.7199967 -8.178173,113.7199934 -8.1782712,113.71998 -8.1783276,113.7199599 -8.1783675,113.7199263 -8.1784172,113.7198794 -8.1784576,113.7198391 -8.1783873,113.7198284 -8.1783395,113.7198257 -8.1782943,113.719825 -8.1782512,113.7198499 -8.1781669,113.7198665 -8.1781267,113.7198915 -8.1781006,113.719927 -8.1780754,113.7199491 -8.1780674)",497,residential,,99.3349888970002
"LINESTRING (113.7203846 -8.1767763,113.7204419 -8.1767963,113.7205919 -8.1768219,113.7209944 -8.1768696)",498,residential,,68.1751946615199
"LINESTRING (113.7197842 -8.1734097,113.7196916 -8.1733741,113.7190908 -8.1730959,113.7189974 -8.1730532,113.7191021 -8.1723579,113.7191713 -8.1719305,113.7192051 -8.1717665,113.7192249 -8.1716929,113.719229 -8.171653,113.7192202 -8.1716046,113.7192105 -8.1715731,113.7192048 -8.1715479,113.7192021 -8.1715144,113.7192008 -8.1714732,113.7192323 -8.1713538,113.7193242 -8.1710325,113.7194683 -8.1707603,113.7194938 -8.1707086,113.7195045 -8.1706668,113.7195227 -8.1705413)",499,residential,Jalan Halmahera,382.579805504866
"LINESTRING (113.6885804 -8.1890114,113.6886782 -8.1886503)",500,residential,,41.3933920561139
"LINESTRING (113.6910405 -8.1833883,113.690489 -8.1832286,113.6904616 -8.1832221,113.6901082 -8.1831264,113.6898775 -8.1830786,113.6896569 -8.1830733,113.6895539 -8.1830797,113.6894685 -8.183085,113.689269 -8.1830973,113.6889207 -8.183064,113.6888757 -8.1830454,113.6888201 -8.1830082,113.6887342 -8.1829379,113.6886685 -8.1828443,113.6884894 -8.1824777,113.6882587 -8.1819919,113.6881085 -8.1817609,113.688051 -8.1817206,113.6879182 -8.1816861,113.6877693 -8.1816596,113.687615 -8.1816526)",501,tertiary,Jalan Sentot Prawirodirjo,467.890848992327
"LINESTRING (113.6910405 -8.1833883,113.69121 -8.1830543,113.6912517 -8.1829408,113.6914043 -8.1825261,113.6914385 -8.1824331,113.6916263 -8.1819074,113.6916361 -8.1818778,113.6916449 -8.1818513,113.691737 -8.1815729,113.6917821 -8.1814538,113.6918682 -8.1812264,113.6918982 -8.1811386,113.6919614 -8.1809533,113.6919701 -8.180928,113.6921121 -8.1806286,113.692261 -8.1803042,113.692288 -8.1802405,113.6924053 -8.1799767,113.692436 -8.1799078,113.692488 -8.1797902,113.6925029 -8.1797551,113.692535 -8.1796892,113.6926915 -8.179375,113.6927492 -8.1792449,113.6928618 -8.1789545,113.6930211 -8.1786313,113.6930338 -8.1785984,113.6930489 -8.1785506,113.6931069 -8.178391,113.6931441 -8.1782858,113.6932041 -8.17815,113.6932577 -8.1780285,113.6932806 -8.1779765,113.6933966 -8.1777216,113.693447 -8.1776069,113.6936385 -8.1772176,113.6946128 -8.1750241)",502,secondary,Jalan KH. Shidiq,1006.97934098099
"LINESTRING (113.6886782 -8.1886503,113.6883762 -8.1886019,113.6879292 -8.1885063,113.6875239 -8.1884137,113.6873693 -8.1883748,113.6872419 -8.188344,113.6871564 -8.1883248,113.6871284 -8.1883217,113.6871077 -8.1883213,113.6870819 -8.188325,113.6870309 -8.1883356,113.6869719 -8.1883568,113.686929 -8.1883834,113.6868943 -8.1884324,113.6868046 -8.188771,113.6867859 -8.1890774,113.6867493 -8.189217,113.6866919 -8.1894593,113.6866206 -8.1896657,113.686568 -8.1898257,113.6865233 -8.1899512,113.6864119 -8.1900363,113.686227 -8.1901776,113.685946 -8.1903965,113.685822 -8.1904631,113.6856885 -8.1905279,113.6855402 -8.1905688,113.6854734 -8.1905799,113.6853843 -8.1905794,113.6852607 -8.1905683,113.6848649 -8.1905414,113.6845165 -8.1905129,113.6843267 -8.1905003,113.6839411 -8.1904572,113.683681 -8.1904167,113.683349 -8.190349,113.6831117 -8.1902859,113.6829487 -8.1902375,113.6826939 -8.1901618,113.6825115 -8.1901074,113.6823224 -8.1900649,113.6822232 -8.1900463,113.6820489 -8.1900211,113.6816901 -8.1899946,113.6813367 -8.1899733,113.6811027 -8.189984,113.6809947 -8.1899972,113.680862 -8.1900463,113.6806628 -8.1901631,113.6803477 -8.1903603,113.6800439 -8.1905594,113.6798689 -8.1906603,113.6796898 -8.1907631,113.6795363 -8.1908547,113.6793331 -8.1909636,113.6791849 -8.1910173,113.6789268 -8.1910983,113.6786391 -8.191176,113.6784245 -8.1912324,113.6780369 -8.1913439,113.6776748 -8.1914501,113.6773268 -8.1915549,113.6771158 -8.1916188,113.6769258 -8.1916764,113.6766261 -8.191768,113.6765081 -8.1917992,113.6764444 -8.1918038,113.6763934 -8.1918005,113.6763357 -8.1917819,113.6762975 -8.1917607,113.6762593 -8.1917328,113.6762224 -8.1916937,113.6761889 -8.1916353,113.6761601 -8.191551,113.6761406 -8.1914448,113.6761272 -8.1913299)",503,tertiary,Jalan Imam Bonjol,1630.91291555012
"LINESTRING (113.7032881 -8.1498882,113.7032524 -8.149808,113.7032363 -8.1497277,113.7032121 -8.1495644,113.7032068 -8.149421,113.7032054 -8.1493294,113.7031934 -8.1492245,113.7031381 -8.1488654,113.7031208 -8.1487706,113.7031167 -8.1486875,113.7031167 -8.1486105,113.7031423 -8.1484095,113.7031891 -8.1480025,113.7031864 -8.1479494,113.7031864 -8.1479069,113.7031596 -8.1478432,113.7030913 -8.147759,113.7025576 -8.1471563,113.7022947 -8.1468218,113.7022021 -8.1466935,113.7021404 -8.1465873,113.7020882 -8.1464792,113.7020411 -8.1463616,113.7020036 -8.1462474,113.7018939 -8.1456803,113.7018632 -8.1454952,113.70184 -8.1453553,113.7017756 -8.145127,113.7017449 -8.1450003,113.7017005 -8.1447738,113.7016679 -8.1446708,113.7016376 -8.1446259,113.7016032 -8.1445638,113.7015503 -8.1444685,113.7014484 -8.1442906,113.7013438 -8.1440729,113.7013104 -8.1439436,113.7012674 -8.143771,113.7012499 -8.1435604,113.7012835 -8.1432426,113.7013089 -8.1430772,113.7013223 -8.1429604,113.7013277 -8.1428435,113.7013353 -8.1425747,113.7013598 -8.1419567,113.7013667 -8.1413574,113.7013598 -8.1412345,113.7013598 -8.141115,113.7013598 -8.1410168,113.701372 -8.1408769,113.7014376 -8.1404831,113.7014618 -8.1403556,113.7014725 -8.1402468,113.7014868 -8.1400822,113.7014901 -8.1399157,113.7014544 -8.1392358,113.7014576 -8.1392048,113.7014698 -8.1390891,113.7014954 -8.138981,113.7015342 -8.1388926,113.7016886 -8.1385854,113.7017649 -8.1384572,113.7018158 -8.1383589,113.7018507 -8.1382766,113.7020358 -8.1376845,113.7020573 -8.1375702,113.7020641 -8.1374649,113.7020614 -8.1373587,113.7020593 -8.1372234,113.7020506 -8.1371463,113.7020426 -8.1370852,113.7019621 -8.136833,113.7018012 -8.136294,113.7015759 -8.1356408,113.7013747 -8.1350513,113.7011843 -8.1343746,113.7011012 -8.1341671)",504,unclassified,Jalan Merpati,1831.63676892204
"LINESTRING (113.7072623 -8.1201685,113.7072569 -8.1202401,113.7072619 -8.1202647,113.7072713 -8.1202823,113.7072864 -8.1202933,113.7076834 -8.1205429,113.7077478 -8.1206119,113.7078416 -8.1207473,113.7083003 -8.1216581,113.708598 -8.1222077,113.7087804 -8.1225476,113.7094215 -8.1233176,113.7094938 -8.123388,113.7094308 -8.1234637,113.7087429 -8.1245046,113.7086329 -8.1246134,113.7084907 -8.124709,113.7084532 -8.1247336,113.7084183 -8.1247827,113.7083942 -8.1248444,113.7083298 -8.1252321,113.7082761 -8.1255401,113.7082731 -8.1255949,113.7082966 -8.1256324,113.7083352 -8.1256543,113.7086007 -8.1257499,113.7086678 -8.1257897,113.7087107 -8.1258455,113.7087455 -8.1259729,113.708716 -8.126342,113.7086517 -8.1265465,113.7085792 -8.1267642,113.708531 -8.1269315,113.7085041 -8.1270935,113.7084049 -8.1276856,113.7083781 -8.1279803,113.7083727 -8.12806,113.7083868 -8.1284158,113.7083841 -8.1284762,113.7083734 -8.1285247,113.708362 -8.1285751,113.7083378 -8.1286627,113.7082681 -8.1289442,113.7082271 -8.1291026,113.7081367 -8.1297208,113.708138 -8.1298363,113.7081635 -8.1299532,113.7082235 -8.1301127,113.7083459 -8.1304617,113.7085041 -8.1310047,113.7085343 -8.1310843,113.7085913 -8.1311487,113.7086664 -8.1311958,113.7096099 -8.1316407,113.7096591 -8.1316639,113.7103267 -8.1319579,113.7107599 -8.1320721,113.7109061 -8.1321292,113.7109577 -8.1321823,113.7109732 -8.1322456,113.7109658 -8.1323659,113.7107872 -8.133009,113.710512 -8.1338852,113.7105088 -8.1339178,113.7105128 -8.1339453,113.7105215 -8.1339681,113.7105368 -8.1339834,113.7108122 -8.1341451,113.7108373 -8.134167,113.7108497 -8.1341916,113.7108521 -8.1342294,113.7107104 -8.1350708,113.7106162 -8.1356181,113.710455 -8.1364576,113.7104454 -8.1366377,113.7104581 -8.1368316,113.7104755 -8.1370354)",505,unclassified,Jalan Plalangan,2246.1289816846
"LINESTRING (113.7173608 -8.1326987,113.717329 -8.1334198,113.7172872 -8.1341891,113.7172018 -8.1348445,113.7171951 -8.1348962,113.7171535 -8.1351248)",506,residential,,269.779418699912
"LINESTRING (113.7045377 -8.1775376,113.704541 -8.1778274)",507,trunk,Jalan Jenderal Achmad Yani,32.075413940711
"LINESTRING (113.7067693 -8.1672555,113.7071872 -8.1672731,113.7076243 -8.1673384)",508,secondary,,94.8652082639214
"LINESTRING (113.6694631 -8.187686,113.6691762 -8.1876294,113.6685624 -8.1875248,113.6680393 -8.1874256,113.6677066 -8.187372,113.6674676 -8.1873582,113.6671136 -8.1873357)",509,residential,,262.302937594047
"LINESTRING (113.6524748 -8.1898542,113.6524614 -8.1897735,113.6524601 -8.1897374,113.6524654 -8.1896697,113.6524762 -8.1896097,113.6525081 -8.1893884,113.6525185 -8.1893307,113.6525276 -8.1892904,113.6527893 -8.188368,113.6529475 -8.1878352,113.6531345 -8.1870094,113.6535198 -8.1854121,113.6535393 -8.1853111,113.653551 -8.1852665,113.6535696 -8.1851955,113.6539807 -8.1835061,113.6541042 -8.1829422,113.6541983 -8.182543,113.6543114 -8.1820631)",510,secondary,Jalan Udang Windu,886.978394476232
"LINESTRING (113.6856827 -8.1981957,113.6856224 -8.1985442,113.6856007 -8.1988501,113.6855693 -8.1991697,113.6855437 -8.1994099,113.6855112 -8.1997465,113.6855022 -8.1998926,113.6854843 -8.2001813,113.6854899 -8.2004316,113.685483 -8.2006351,113.6854856 -8.2008589,113.6854811 -8.2011009,113.6854781 -8.2013614,113.6854759 -8.2016944,113.6854771 -8.2020782,113.6854772 -8.2021892,113.685478 -8.2024884,113.6854738 -8.202822,113.6854701 -8.2030866,113.6854706 -8.2033097,113.6854713 -8.2035711,113.6854719 -8.2038924,113.6854662 -8.2042361,113.6854623 -8.2045332,113.6854597 -8.2048775,113.6854669 -8.2051995,113.6854797 -8.2057562,113.6854767 -8.2058789,113.6854441 -8.2059909,113.6854284 -8.2060357,113.6851441 -8.2064643,113.6849881 -8.2066856,113.6848792 -8.2068505,113.6847995 -8.2069771,113.6846984 -8.2071173,113.6844093 -8.2075659,113.6842402 -8.207846,113.6841389 -8.2080577,113.6837628 -8.2086069,113.6836332 -8.2087985,113.6834383 -8.2090874,113.6831698 -8.2095241,113.6831271 -8.2095972,113.6829182 -8.209955,113.6826623 -8.2104105,113.6823547 -8.210934,113.6821186 -8.2113694,113.6819658 -8.2116752,113.6818973 -8.2117906,113.6817297 -8.2120729,113.6815231 -8.2124148,113.6814374 -8.2125587,113.681164 -8.2130652,113.6809546 -8.213387,113.6807507 -8.2137586,113.6805093 -8.2142046,113.680453 -8.214314,113.6804424 -8.2143423)",511,tertiary,Jalan Profesor Muhammad Yamin,1942.0026262341
