WKT,fid,tipe,nama,panjang
"LINESTRING (113.6967554 -8.1711679,113.6966401 -8.1714088,113.6964805 -8.1717062,113.6962782 -8.172061,113.6961811 -8.1722312,113.6960869 -8.1723965,113.695712 -8.1730443,113.6956114 -8.1732129)",13,secondary,Jalan KH. Samanhudi,259.195838967874
"LINESTRING (113.7045664 -8.1754665,113.7045579 -8.1754218,113.7045425 -8.1753873,113.7045231 -8.1753627,113.7044976 -8.1753441,113.7044647 -8.1753262,113.7043829 -8.1753037,113.7043226 -8.1752937,113.7042461 -8.1752804)",14,trunk,Jalan Jenderal Achmad Yani,44.9570284692104
"LINESTRING (113.7010566 -8.1710552,113.7010929 -8.1706228,113.7012394 -8.1698684,113.7012645 -8.1697347,113.7012903 -8.169612,113.7012947 -8.1695913)",15,residential,Jalan RA. Kartini,164.333302412112
"LINESTRING (113.7016477 -8.1916317,113.7014438 -8.1916285,113.7006533 -8.1915528,113.6999613 -8.1914731,113.6992585 -8.1914147,113.6990834 -8.1914175,113.6984231 -8.1914328,113.6981639 -8.1914305,113.6976216 -8.1914343,113.6970583 -8.1914382,113.6968234 -8.1914427,113.6962167 -8.1914263,113.6958875 -8.1914217,113.6954329 -8.19142,113.6952406 -8.1914206,113.6949822 -8.1914202,113.694943 -8.1914107,113.6947833 -8.1914083,113.6946425 -8.1913897,113.6944869 -8.1913472,113.6940878 -8.1912157,113.694004 -8.1911898,113.6938614 -8.1911458,113.6935166 -8.1910392,113.6931974 -8.1908965,113.6926747 -8.1906568,113.692605 -8.1906255,113.6921385 -8.190415,113.6919206 -8.1902879,113.6917574 -8.1901928,113.6916242 -8.1901164,113.6915428 -8.1900697,113.6911929 -8.1898208,113.6908045 -8.1895022,113.6907366 -8.1894601,113.6903846 -8.1892419,113.6902494 -8.1891929,113.689617 -8.1889636,113.6894456 -8.1889008,113.6892254 -8.1888202,113.6891222 -8.1887833,113.6888952 -8.1887039,113.6888312 -8.188694,113.6886782 -8.1886503)",16,tertiary,Jalan Teuku Umar,1503.76194420204
"LINESTRING (113.7016477 -8.1916317,113.7017175 -8.1914299,113.7018662 -8.190799,113.7020105 -8.1901616,113.7022172 -8.1893373,113.7023945 -8.1886185,113.7024879 -8.1882395,113.7025195 -8.1880738,113.7025944 -8.1876813,113.7026256 -8.1875038,113.7026763 -8.1872183,113.7027138 -8.1869908,113.7027791 -8.1865249,113.7028155 -8.1862729,113.7028902 -8.1858365)",17,secondary,Jalan Letnan Jenderal Suprapto,656.473902461964
"LINESTRING (113.7111426 -8.1684963,113.7108116 -8.1694761,113.7107058 -8.1698206,113.710674 -8.169918,113.7105949 -8.1700946,113.7104951 -8.170315,113.710379 -8.1705075,113.7103521 -8.1705439,113.7102269 -8.1707133,113.7100268 -8.1709497,113.7096554 -8.1713924,113.7093825 -8.17169,113.7093523 -8.1717252,113.709073 -8.1720508,113.7089572 -8.1721859,113.7085931 -8.1726104,113.7084659 -8.1727369,113.7082702 -8.1729315,113.7081353 -8.1730901,113.7080093 -8.1732381,113.7079382 -8.1733175,113.7078738 -8.1734007,113.7078147 -8.1735007,113.7077746 -8.1735846,113.7073964 -8.1743837,113.7071359 -8.1749352,113.7070443 -8.1751291,113.7069464 -8.1753302,113.7068801 -8.1754782,113.7067453 -8.1757855,113.7066166 -8.1760498,113.7065461 -8.1761718,113.7065367 -8.1761851,113.7064415 -8.176319,113.7063745 -8.1764101,113.7063054 -8.1764897,113.7062129 -8.1765648,113.7057918 -8.1768926,113.705669 -8.1769935,113.7056147 -8.1770504,113.7055295 -8.1771736)",18,secondary,Jalan Sumatra,1160.78794661925
"LINESTRING (113.7214512 -8.1708752,113.7210596 -8.1707623,113.7205298 -8.1706137,113.7201738 -8.1705187,113.7200423 -8.1704935,113.7199027 -8.1704794)",19,secondary,Jalan Jawa,176.531937654682
"LINESTRING (113.7029855 -8.1686264,113.7032222 -8.1686674,113.7037895 -8.1687524,113.7039738 -8.1687922)",20,residential,Jalan Shortcut Citarum,110.550947555671
"LINESTRING (113.7112123 -8.1681917,113.7113654 -8.167614,113.7115445 -8.1671,113.7115919 -8.1669728,113.7116766 -8.1667043,113.7117362 -8.1664493,113.7118193 -8.1662316,113.711869 -8.1660656,113.7119803 -8.1658081,113.7120809 -8.1655519,113.7125503 -8.1645656,113.7128849 -8.163875,113.7129083 -8.1638152,113.7129432 -8.1637262,113.7129899 -8.1636164,113.7133281 -8.1626181,113.7135011 -8.1621163,113.7136124 -8.1618083,113.7136835 -8.1615986,113.7137653 -8.161339,113.7137734 -8.161307,113.7138504 -8.1610027,113.7138739 -8.1609096,113.7140094 -8.1603016,113.7140577 -8.1601051,113.7140831 -8.1599644,113.7142052 -8.1594453,113.7142977 -8.1590417,113.714397 -8.1586714,113.7144433 -8.1585055,113.7144601 -8.1584319)",21,secondary,Jalan Kalimantan,1141.46126643429
"LINESTRING (113.7042669 -8.1668433,113.7044741 -8.1669455,113.7047786 -8.1670691,113.7049957 -8.167146,113.7053353 -8.1672771,113.7055886 -8.1673985,113.7056875 -8.1674199,113.7058783 -8.1674383,113.7059397 -8.1674336,113.7060352 -8.1674263,113.7061545 -8.1674051,113.7062883 -8.167361,113.7064188 -8.1673169,113.7065106 -8.167299,113.7065534 -8.1672906,113.7067693 -8.1672555)",22,secondary,Jalan Bedadung,291.321745584967
